 time            V("/vd1")       V("/vd2")       V("/vtemp")     V("/vload")    
 1.00280000e+00  4.99911224e+00  1.52882292e+00  3.59977200e+01  4.97553539e+00 
 1.01280000e+00  4.99911142e+00  1.52882347e+00  3.63467200e+01  4.97553539e+00 
 1.02280000e+00  4.99911223e+00  1.52882292e+00  3.66957200e+01  4.97553539e+00 
 1.03280000e+00  4.99911142e+00  1.52882346e+00  3.70447200e+01  4.97553539e+00 
 1.04280000e+00  4.99911223e+00  1.52882293e+00  3.73937200e+01  4.97553539e+00 
 1.05280000e+00  4.99911142e+00  1.52882346e+00  3.77427200e+01  4.97553539e+00 
 1.06280000e+00  4.99911223e+00  1.52882293e+00  3.80917200e+01  4.97553539e+00 
 1.07280000e+00  4.99911142e+00  1.52882346e+00  3.84407200e+01  4.97553539e+00 
 1.08280000e+00  4.99911223e+00  1.52882293e+00  3.87897200e+01  4.97553539e+00 
 1.09280000e+00  4.99911142e+00  1.52882346e+00  3.91387200e+01  4.97553539e+00 
 1.10280000e+00  4.99911223e+00  1.52882293e+00  3.94877200e+01  4.97553539e+00 
 1.11280000e+00  4.99911142e+00  1.52882345e+00  3.98367200e+01  4.97553539e+00 
 1.12280000e+00  4.99911223e+00  1.52882294e+00  4.01857200e+01  4.97553539e+00 
 1.13280000e+00  4.99911142e+00  1.52882345e+00  4.05347200e+01  4.97553539e+00 
 1.14280000e+00  4.99911223e+00  1.52882294e+00  4.08837200e+01  4.97553539e+00 
 1.15280000e+00  4.99911142e+00  1.52882345e+00  4.12327200e+01  4.97553539e+00 
 1.16280000e+00  4.99911222e+00  1.52882294e+00  4.15817200e+01  4.97553539e+00 
 1.17280000e+00  4.99911143e+00  1.52882345e+00  4.19307200e+01  4.97553539e+00 
 1.18280000e+00  4.99911222e+00  1.52882294e+00  4.22797200e+01  4.97553539e+00 
 1.19280000e+00  4.99911143e+00  1.52882345e+00  4.26287200e+01  4.97553539e+00 
 1.20280000e+00  4.99911222e+00  1.52882294e+00  4.29777200e+01  4.97553539e+00 
 1.21280000e+00  4.99911143e+00  1.52882345e+00  4.33267200e+01  4.97553539e+00 
 1.22280000e+00  4.99911222e+00  1.52882294e+00  4.36757200e+01  4.97553539e+00 
 1.23280000e+00  4.99911143e+00  1.52882345e+00  4.40247200e+01  4.97553539e+00 
 1.24280000e+00  4.99911222e+00  1.52882294e+00  4.43737200e+01  4.97553539e+00 
 1.25280000e+00  4.99911143e+00  1.52882344e+00  4.47227200e+01  4.97553539e+00 
 1.26280000e+00  4.99911222e+00  1.52882295e+00  4.50717200e+01  4.97553539e+00 
 1.27280000e+00  4.99911143e+00  1.52882344e+00  4.54207200e+01  4.97553539e+00 
 1.28280000e+00  4.99911222e+00  1.52882295e+00  4.57697200e+01  4.97553539e+00 
 1.29280000e+00  4.99911143e+00  1.52882344e+00  4.61187200e+01  4.97553539e+00 
 1.30280000e+00  4.99911221e+00  1.52882295e+00  4.64677200e+01  4.97553539e+00 
 1.31280000e+00  4.99911143e+00  1.52882344e+00  4.68167200e+01  4.97553539e+00 
 1.32280000e+00  4.99911221e+00  1.52882295e+00  4.71657200e+01  4.97553539e+00 
 1.33280000e+00  4.99911143e+00  1.52882344e+00  4.75147200e+01  4.97553539e+00 
 1.34280000e+00  4.99911221e+00  1.52882295e+00  4.78637200e+01  4.97553539e+00 
 1.35280000e+00  4.99911143e+00  1.52882344e+00  4.82127200e+01  4.97553539e+00 
 1.36280000e+00  4.99911221e+00  1.52882295e+00  4.85617200e+01  4.97553539e+00 
 1.37280000e+00  4.99911143e+00  1.52882344e+00  4.89107200e+01  4.97553539e+00 
 1.38280000e+00  4.99911221e+00  1.52882295e+00  4.92597200e+01  4.97553539e+00 
 1.39280000e+00  4.99911144e+00  1.52882344e+00  4.96087200e+01  4.97553539e+00 
 1.40280000e+00  4.99911221e+00  1.52882295e+00  4.99577200e+01  4.97553539e+00 
 1.41280000e+00  4.99911144e+00  1.52882344e+00  5.03067200e+01  4.97553539e+00 
 1.42280000e+00  4.99911221e+00  1.52882295e+00  5.06557200e+01  4.97553539e+00 
 1.43280000e+00  4.99911144e+00  1.52882343e+00  5.10047200e+01  4.97553539e+00 
 1.44280000e+00  4.99911220e+00  1.52882295e+00  5.13537200e+01  4.97553539e+00 
 1.45280000e+00  4.99911144e+00  1.52882343e+00  5.17027200e+01  4.97553539e+00 
 1.46280000e+00  4.99911220e+00  1.52882296e+00  5.20517200e+01  4.97553539e+00 
 1.47280000e+00  4.99911144e+00  1.52882343e+00  5.24007200e+01  4.97553539e+00 
 1.48280000e+00  4.99911220e+00  1.52882296e+00  5.27497200e+01  4.97553539e+00 
 1.49280000e+00  4.99911144e+00  1.52882343e+00  5.30987200e+01  4.97553539e+00 
 1.50280000e+00  4.99911220e+00  1.52882296e+00  5.34477200e+01  4.97553539e+00 
 1.51280000e+00  4.99911144e+00  1.52882343e+00  5.37967200e+01  4.97553539e+00 
 1.52280000e+00  4.99911220e+00  1.52882296e+00  5.41457200e+01  4.97553539e+00 
 1.53280000e+00  4.99911144e+00  1.52882343e+00  5.44947200e+01  4.97553539e+00 
 1.54280000e+00  4.99911220e+00  1.52882296e+00  5.48437200e+01  4.97553539e+00 
 1.55280000e+00  4.99911144e+00  1.52882343e+00  5.51927200e+01  4.97553539e+00 
 1.56280000e+00  4.99911220e+00  1.52882296e+00  5.55417200e+01  4.97553539e+00 
 1.57280000e+00  4.99911144e+00  1.52882343e+00  5.58907200e+01  4.97553539e+00 
 1.58280000e+00  4.99911219e+00  1.52882296e+00  5.62397200e+01  4.97553539e+00 
 1.59280000e+00  4.99911144e+00  1.52882343e+00  5.65887200e+01  4.97553539e+00 
 1.60280000e+00  4.99911219e+00  1.52882296e+00  5.69377200e+01  4.97553539e+00 
 1.61280000e+00  4.99911144e+00  1.52882343e+00  5.72867200e+01  4.97553539e+00 
 1.62280000e+00  4.99911219e+00  1.52882296e+00  5.76357200e+01  4.97553539e+00 
 1.63280000e+00  4.99911145e+00  1.52882343e+00  5.79847200e+01  4.97553539e+00 
 1.64280000e+00  4.99911219e+00  1.52882296e+00  5.83337200e+01  4.97553539e+00 
 1.65280000e+00  4.99911145e+00  1.52882343e+00  5.86827200e+01  4.97553539e+00 
 1.66280000e+00  4.99911219e+00  1.52882296e+00  5.90317200e+01  4.97553539e+00 
 1.67280000e+00  4.99911145e+00  1.52882343e+00  5.93807200e+01  4.97553539e+00 
 1.68280000e+00  4.99911219e+00  1.52882296e+00  5.97297200e+01  4.97553539e+00 
 1.69280000e+00  4.99911145e+00  1.52882342e+00  6.00787200e+01  4.97553539e+00 
 1.70280000e+00  4.99911219e+00  1.52882296e+00  6.04277200e+01  4.97553539e+00 
