 time            V("/vd1")       V("/vd2")       V("/vcont")     V("/vload")    
 7.52800000e-01  4.99467133e+00  1.00536676e+00  2.72727200e+01  1.12233352e-10 
 7.62800000e-01  4.99467129e+00  1.00536698e+00  2.76217200e+01  3.21285382e-11 
 7.72800000e-01  4.99467133e+00  1.00536676e+00  2.79707200e+01  1.11915940e-10 
 7.82800000e-01  4.99467129e+00  1.00536698e+00  2.83197200e+01  3.24453539e-11 
 7.92800000e-01  4.99467133e+00  1.00536676e+00  2.86687200e+01  1.11688843e-10 
 8.02800000e-01  4.99467129e+00  1.00536697e+00  2.90177200e+01  3.27097101e-11 
 8.12800000e-01  4.99467133e+00  1.00536676e+00  2.93667200e+01  1.11430022e-10 
 8.22800000e-01  4.99467129e+00  1.00536697e+00  2.97157200e+01  3.28948495e-11 
 8.32800000e-01  4.99467133e+00  1.00536676e+00  3.00647200e+01  1.11159344e-10 
 8.42800000e-01  4.99467129e+00  1.00536697e+00  3.04137200e+01  3.32917105e-11 
 8.52800000e-01  4.99467133e+00  1.00536676e+00  3.07627200e+01  1.10745852e-10 
 8.62800000e-01  4.99467129e+00  1.00536697e+00  3.11117200e+01  3.36401202e-11 
 8.72800000e-01  4.99467133e+00  1.00536676e+00  3.14607200e+01  1.10514191e-10 
 8.82800000e-01  4.99467129e+00  1.00536697e+00  3.18097200e+01  3.37264475e-11 
 8.92800000e-01  4.99467133e+00  1.00536676e+00  3.21587200e+01  1.10403484e-10 
 9.02800000e-01  4.99467129e+00  1.00536697e+00  3.25077200e+01  3.40512304e-11 
 9.12800000e-01  4.99467133e+00  1.00536676e+00  3.28567200e+01  1.09994097e-10 
 9.22800000e-01  4.99467129e+00  1.00536697e+00  3.32057200e+01  3.43244287e-11 
 9.32800000e-01  4.99467133e+00  1.00536676e+00  3.35547200e+01  1.09839524e-10 
 9.42800000e-01  4.99467129e+00  1.00536697e+00  3.39037200e+01  3.44296017e-11 
 9.52800000e-01  4.99467133e+00  1.00536676e+00  3.42527200e+01  1.09754534e-10 
 9.62800000e-01  4.99467129e+00  1.00536697e+00  3.46017200e+01  3.45950894e-11 
 9.72800000e-01  4.99467133e+00  1.00536676e+00  3.49507200e+01  1.09508416e-10 
 9.82800000e-01  4.99467129e+00  1.00536697e+00  3.52997200e+01  3.48255248e-11 
 9.92800000e-01  4.99467133e+00  1.00536676e+00  3.56487200e+01  1.09320904e-10 
 1.00280000e+00  4.99467129e+00  1.00536697e+00  3.59977200e+01  3.50354900e-11 
 1.01280000e+00  4.99467133e+00  1.00536676e+00  3.63467200e+01  1.09074157e-10 
 1.02280000e+00  4.99467129e+00  1.00536697e+00  3.66957200e+01  3.52813958e-11 
 1.03280000e+00  4.99467133e+00  1.00536676e+00  3.70447200e+01  1.08828719e-10 
 1.04280000e+00  4.99467129e+00  1.00536697e+00  3.73937200e+01  3.55256887e-11 
 1.05280000e+00  4.99467133e+00  1.00536676e+00  3.77427200e+01  1.08584142e-10 
 1.06280000e+00  4.99467129e+00  1.00536697e+00  3.80917200e+01  3.57674809e-11 
 1.07280000e+00  4.99467133e+00  1.00536676e+00  3.84407200e+01  1.08339453e-10 
 1.08280000e+00  4.99467129e+00  1.00536697e+00  3.87897200e+01  3.60005117e-11 
 1.09280000e+00  4.99467133e+00  1.00536676e+00  3.91387200e+01  1.08161530e-10 
